lambda   depth  MSEtrain
0.0 1 0.09373168005837673
0.01 1 0.09345203246877411
0.1 1 0.09365918390546348
1.0 1 0.09473527611690125
10.0 1 0.09582191325218728
100.0 1 0.0996624600041781
0.0 2 0.009385282074299747
0.01 2 0.007727721301533892
0.1 2 0.007555333828700711
1.0 2 0.007759942234807087
10.0 2 0.02192326544278106
100.0 2 0.06414314153002086
0.0 3 0.001666539607286191
0.01 3 0.0021265901188099157
0.1 3 0.001624355757878056
1.0 3 0.001854475396142347
10.0 3 0.00493418468012083
100.0 3 0.041868521621413225
0.0 4 0.0004158860979083883
0.01 4 0.00038325603389353555
0.1 4 0.0004127700554675568
1.0 4 0.0005601447113586903
10.0 4 0.001829157468160828
100.0 4 0.0187206621896745
0.0 5 5.887350720974859e-05
0.01 5 6.205383594740893e-05
0.1 5 8.18244878417e-05
1.0 5 0.0001245630692560001
10.0 5 0.0007449594543609214
100.0 5 0.01158248424771844
0.0 6 1.2803220809388744e-05
0.01 6 1.1144328413486307e-05
0.1 6 1.5631054389263045e-05
1.0 6 3.3396827111475545e-05
10.0 6 0.00041342764151925396
100.0 6 0.009402136766649418
0.0 7 7.515515325443047e-06
0.01 7 7.317628853944802e-06
0.1 7 9.997967660828947e-06
1.0 7 1.4703488314788609e-05
10.0 7 0.00020406038863245526
100.0 7 0.0064551492717453696
0.0 8 7.168431051947937e-06
0.01 8 4.579374869991406e-06
0.1 8 6.677413315623262e-06
1.0 8 9.828701442218847e-06
10.0 8 0.00013749250679790975
100.0 8 0.0058966804789572355
